set,question,exercise,topic,chatgpt,copilot,gemini,answer
2020dec,1,1,1,0,2,2,2
2020dec,2,2,7,2,1,1,2
2020dec,3,2,3,5,3,4,3
2020dec,4,2,3,4,2,0,4
2020dec,5,2,3,1,5,0,5
2020dec,6,2,3,2,2,5,2
2020dec,7,3,5,3,5,5,5
2020dec,8,3,5,3,3,5,3
2020dec,9,4,3,4,4,5,4
2020dec,10,4,3,2,1,3,2
2020dec,11,4,5,3,3,3,3
2020dec,12,5,2,1,2,3,2
2020dec,13,5,2,4,4,3,4
2020dec,14,5,4,1,1,5,1
2020dec,15,6,4,4,4,1,4
2020dec,16,6,4,4,1,1,1
2020dec,17,7,2,4,2,1,3
2020dec,18,7,2,2,1,3,3
2020dec,19,7,2,5,1,4,2
2020dec,20,8,1,4,4,4,4
2020dec,21,8,2,2,1,4,4
2020dec,22,9,3,1,5,3,5
2020dec,23,9,3,3,5,3,4
2020dec,24,9,3,2,3,2,3
2020dec,25,9,3,1,1,1,1
2020dec,26,10,8,2,4,0,4
2020dec,27,10,8,4,1,1,1
2020dec,28,10,8,2,1,4,2
2020dec,29,10,8,1,4,1,4
2020dec,30,10,8,2,5,3,3
