set,question,exercise,topic,chatgpt,copilot,gemini,answer
2022jun,1,1,3,2,2,1,2
2022jun,2,1,3,3,3,1,3
2022jun,3,1,3,0,5,2,5
2022jun,4,1,3,1,1,4,1
2022jun,5,1,3,5,0,4,5
2022jun,6,2,7,1,1,2,1
2022jun,7,2,7,1,1,2,1
2022jun,8,2,7,1,4,4,4
2022jun,9,2,7,1,1,1,1
2022jun,10,3,8,2,2,2,2
2022jun,11,3,8,3,3,0,3
2022jun,12,3,8,2,1,4,4
2022jun,13,4,1,4,4,4,4
2022jun,14,4,1,3,3,5,3
2022jun,15,4,4,1,2,1,2
2022jun,16,4,4,5,4,4,5
2022jun,17,4,7,4,4,4,4
2022jun,18,5,8,4,4,3,5
2022jun,19,5,8,5,5,1,2
2022jun,20,6,5,3,1,1,1
2022jun,21,6,5,5,5,5,5
2022jun,22,6,5,1,1,1,1
2022jun,23,6,6,3,3,3,3
2022jun,24,6,6,5,4,4,4
2022jun,25,6,6,3,3,3,3
2022jun,26,7,2,1,1,5,1
2022jun,27,7,2,3,1,5,3
2022jun,28,7,2,2,2,4,2
2022jun,29,8,3,2,2,0,2
2022jun,30,8,3,2,2,2,2
