set,question,exercise,topic,chatgpt,copilot,gemini,answer
2023dec,1,1,2,5,3,1,5
2023dec,2,1,3,2,2,2,2
2023dec,3,2,8,2,4,3,2
2023dec,4,2,8,5,1,0,4
2023dec,5,3,3,3,3,5,3
2023dec,6,3,3,1,1,1,5
2023dec,7,3,3,4,4,4,4
2023dec,8,3,3,5,5,0,5
2023dec,9,3,3,3,3,4,3
2023dec,10,4,6,3,3,5,5
2023dec,11,4,6,1,4,2,1
2023dec,12,4,6,5,1,5,5
2023dec,13,5,2,4,3,3,3
2023dec,14,5,2,4,5,5,5
2023dec,15,5,2,0,3,2,1
2023dec,16,6,2,3,1,1,1
2023dec,17,7,8,5,0,5,5
2023dec,18,7,8,4,5,0,4
2023dec,19,7,8,2,0,0,4
2023dec,20,8,5,2,0,2,3
2023dec,21,8,5,1,1,1,1
2023dec,22,9,7,3,3,3,3
2023dec,23,9,7,3,3,2,3
2023dec,24,10,1,5,3,5,3
2023dec,25,10,4,1,2,2,2
2023dec,26,10,4,1,1,1,1
2023dec,27,11,7,2,2,2,2
2023dec,28,11,7,1,1,5,4
2023dec,29,11,7,1,1,1,1
2023dec,30,12,5,5,5,5,5
