set,question,exercise,topic,chatgpt,copilot,gemini,answer
2018may,1,1,5,1,4,1,4
2018may,2,1,5,4,2,1,5
2018may,3,1,5,3,1,3,2
2018may,4,1,5,3,3,3,3
2018may,5,2,2,1,1,2,1
2018may,6,2,2,3,3,1,3
2018may,7,2,2,3,4,2,4
2018may,8,3,4,2,0,0,2
2018may,9,4,7,4,4,3,4
2018may,10,4,7,2,2,1,2
2018may,11,4,7,3,3,3,3
2018may,12,4,7,4,2,2,2
2018may,13,4,7,5,5,5,5
2018may,14,5,3,1,1,2,1
2018may,15,5,3,3,1,5,4
2018may,16,6,2,2,2,4,2
2018may,17,6,2,5,2,1,2
2018may,18,6,7,4,3,2,3
2018may,19,7,3,2,4,2,3
2018may,20,7,3,1,4,4,4
2018may,21,7,3,3,0,5,5
2018may,22,8,5,2,4,4,4
2018may,23,9,1,3,1,3,1
2018may,24,9,4,3,3,3,3
2018may,25,10,8,2,2,2,2
2018may,26,10,8,2,0,0,2
2018may,27,10,8,4,5,4,5
2018may,28,11,8,5,0,2,2
2018may,29,11,8,1,0,0,4
2018may,30,11,8,2,3,3,3
