set,question,exercise,topic,chatgpt,copilot,gemini,answer
2022dec,1,1,2,4,3,2,3
2022dec,2,2,5,1,3,0,3
2022dec,3,2,5,2,2,2,2
2022dec,4,2,5,3,3,1,3
2022dec,5,3,3,1,2,1,4
2022dec,6,3,3,5,5,5,3
2022dec,7,3,3,2,0,0,4
2022dec,8,3,3,4,4,3,4
2022dec,9,3,3,4,4,2,4
2022dec,10,4,8,3,4,3,4
2022dec,11,4,8,4,4,4,4
2022dec,12,5,2,3,5,5,5
2022dec,13,5,2,4,4,5,4
2022dec,14,5,2,5,5,1,2
2022dec,15,5,2,3,3,0,3
2022dec,16,6,2,1,1,1,1
2022dec,17,7,6,3,4,4,4
2022dec,18,7,6,4,5,2,5
2022dec,19,7,6,1,1,1,1
2022dec,20,8,8,3,0,5,5
2022dec,21,8,8,5,4,5,4
2022dec,22,8,8,3,3,1,3
2022dec,23,9,4,4,4,2,4
2022dec,24,9,4,2,2,2,2
2022dec,25,9,4,1,1,1,1
2022dec,26,9,4,5,5,5,5
2022dec,27,10,7,5,4,4,4
2022dec,28,10,7,3,3,3,3
2022dec,29,10,7,5,5,5,5
2022dec,30,10,7,2,2,2,2
