set,question,exercise,topic,chatgpt,copilot,gemini,answer
2024may,1,1,3,1,1,1,1
2024may,2,1,3,1,2,4,1
2024may,3,2,3,5,5,3,5
2024may,4,3,2,5,5,5,5
2024may,5,3,2,3,3,0,3
2024may,6,4,8,1,1,0,1
2024may,7,4,8,3,1,3,1
2024may,8,5,5,1,2,3,2
2024may,9,5,5,4,2,4,2
2024may,10,5,5,3,0,1,1
2024may,11,6,7,4,4,2,4
2024may,12,6,7,4,4,5,4
2024may,13,7,3,3,0,3,4
2024may,14,8,2,3,3,3,3
2024may,15,8,2,1,1,5,1
2024may,16,8,2,4,4,4,4
2024may,17,9,4,2,4,5,4
2024may,18,9,4,1,5,1,5
2024may,19,10,3,2,2,3,2
2024may,20,11,4,2,3,3,3
2024may,21,11,2,3,3,1,3
2024may,22,11,4,3,3,3,3
2024may,23,12,6,2,3,2,2
2024may,24,12,6,4,4,1,4
2024may,25,13,7,3,3,3,3
2024may,26,13,7,2,2,2,4
2024may,27,13,7,2,2,2,2
2024may,28,14,8,4,4,5,4
2024may,29,14,8,5,0,0,5
2024may,30,14,8,4,4,3,4
